simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,RAG_cell_type
1,Lung,0.25,"CD2,GNLY,CTSW,S100A6,GENE90,CCL5,CEBPB,CXCR4,CD7,LGALS1,GENE16,ZFP36L2",Natural Killer T,,,Cytotoxic T cells or NK cells,CL:0000910,T lymphocyte
1,Lung,0.25,"CLU,GENE7,CST5,MET,GENE60,FAM150A,HSPB3,RAMP1,CSRP1,IGF1,SCX,CNN1",Fibromyocyte,,,Fibroblasts,CL:0000057,goblet cell
1,Lung,0.25,"CXCL17,S100P,PSCA,COX5A,TXN,AGR2,GENE86,GENE60,FAM3D,GABRP,CLIC1,WFDC2",Goblet,goblet cell,CL:0000160,Club cells,CL:0000158,pulmonary epithelial cell
1,Lung,0.25,"TFF3,TMPRSS11E,GENE94,PHGR1,BSND,GENE62,FOXI1,HEPACAM2,ATP6V1B1,STAC2,MFSD6L,ASCL3",Ionocyte,ionocyte,CL:0005006,Goblet cells,CL:0000160,goblet cell
1,Lung,0.25,"GENE82,PCSK1N,EGR1,FAM46A,PRDX2,CHGA,SEC11C,GENE29,SCGN,CPE,BEX1,NENF",Neuroendocrine,neuroendocrine cell,CL:0000165,Neuroendocrine cells,CL:0000165,unknown
1,Lung,0.25,"TCN1,LPO,PHB,LYZ,GENE67,GENE12,TESC,ZG16B,PRR4,PRB3,PRH2,PRB4",Serous,serous secreting cell,CL:0000313,Mature neutrophils,CL:0000096,cell_type_name
1,Lung,0.25,"GENE50,C1QB,LYZ,FCER1G,C1QA,LAPTM5,AIF1,C1QC,HLA-DRB1,CTSZ,GENE2,CTSL",Macrophages,macrophage,CL:0000235,Macrophages and Neutrophils,CL:0000775,nonclassical monocyte
1,Lung,0.25,"GNLY,GZMB,GENE78,CTSW,GENE57,CST7,CD7,CCL5,NKG7,GZMA,CCL4,PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,Cytotoxic T cell,CL:0000910,cytotoxic T cell
1,Lung,0.25,"S100A14,SLC34A2,CYB5A,SLC39A8,SFTA2,GENE70,SFTPD,NAPSA,MUC1,SFTA3,PEBP4,GENE16",AT2,type II pneumocyte,CL:0002063,Alveolar epithelial cell type II,CL:0002063,alveolar type II cell
1,Lung,0.25,"CLEC14A,ACKR1,GENE3,MGP,RAMP3,RAMP2,GENE86,IGFBP7,VWF,GNG11,PECAM1,SPARCL1",EC venous,vein endothelial cell,CL:0002543,Endothelial cell,CL:0000115,endothelial cell
1,Lung,0.25,"CD2,CD3D,IL32,GENE36,GENE61,CD69,CCL5,TRAC,CXCR4,CD3E,TRBC2,CORO1A",T cell lineage,T cell,CL:0000084,T cell,CL:0000084,T-cell
1,Lung,0.25,"CLEC14A,TM4SF1,CLDN5,IFI27,SOX17,GENE92,A2M,CRIP2,PECAM1,SPARCL1,GIMAP7,GENE16",EC arterial,endothelial cell of artery,CL:1000413,Endothelial cell,CL:0000115,endothelial cell
1,Lung,0.25,"GENE82,CALD1,LUM,C1S,BGN,MGP,IGFBP7,GENE5,COL6A1,DCN,COL1A2,SPARC",Fibroblasts,fibroblast,CL:0000057,Fibroblast,CL:0000057,myofibroblast cell
1,Lung,0.25,"GENE35,AGER,EMP2,GENE67,FXYD3,SFTA2,CEACAM6,ADIRF,CAV1,KRT7,HOPX,TSPAN13",AT1,type I pneumocyte,CL:0002062,Alveolar epithelial cell type II,CL:0002063,pulmonary alveolar type 2 cell
1,Lung,0.25,"RP11-356K23.1,GENE50,C12orf75,GSTA1,CD24,GENE35,FAM229B,TMEM231,RP11-295M3.4,C11orf97,C5orf49,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,Macrophage,CL:0000235,unidentified
1,Lung,0.25,"LTB,MS4A1,IGHA1,GENE68,IGLC2,CD79A,GENE96,TSC22D3,IGKC,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,B cell,CL:0000236,mast cell
1,Lung,0.25,"CXCL17,GENE62,GENE78,KRT7,BPIFB1,CEACAM6,TACSTD2,PIGR,MUC1,WFDC2,CP,KRT19",Secretory,secretory cell,CL:0000151,Goblet cell,CL:0000160,goblet cell
1,Lung,0.25,"CD14,S100A9,S100A8,GENE15,FCER1G,COTL1,LST1,AIF1,VCAN,S100A12,GENE43,FCN1",Monocytes,monocyte,CL:0000576,Monocytes,CL:0000576,nonclassical monocyte
1,Lung,0.25,"TCN1,SELM,MARCKSL1,LTF,ZG16B,GENE84,PIP,PIGR,GENE49,CCL28,SEC11C,AZGP1",Submucosal Secretory,,,Secretory cells,CL:0000151,goblet cell
1,Lung,0.25,"GENE94,CLEC14A,TM4SF1,CLDN5,AQP1,GENE36,CDH5,IFI27,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,endothelial cell
1,Lung,0.25,"SDPR,TM4SF1,CLDN5,CCL21,RAMP2,ECSCR,IGFBP7,MMRN1,GNG11,PPFIBP1,GENE74,GENE2",Lymphatic EC mature,,,Endothelial cells,CL:0000115,unidentified cell type
1,Lung,0.25,"TFF3,SDPR,AKAP12,CLDN5,TCF4,CCL21,IGFBP7,GENE32,GNG11,GENE88,TIMP3,TFPI",Lymphatic EC differentiating,,,Endothelial cells,CL:0000115,pulmonary endothelial cell
1,Lung,0.25,"HLA-DQB1,HLA-DQA1,HLA-DPA1,ITGB2,GPR183,HLA-DPB1,GENE88,HLA-DRB1,HLA-DMA,GENE4,CORO1A,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,Antigen-presenting cells,CL:0000145,dendritic cell
1,Lung,0.25,"CALD1,TPM2,CYR61,MT1X,CTGF,GPX3,IGFBP5,GENE42,GENE84,SPARCL1,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,Fibroblasts,CL:0000057,fibroblast
1,Lung,0.25,"KIT,VWA5A,C1orf186,CPA3,HPGDS,MS4A2,TPSB2,GENE71,GENE88,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,Mast cells,CL:0000097,mast cell
1,Lung,0.25,"TPM2,PLN,GENE79,LMOD1,IGFBP7,FLNA,ACTG2,SELM,PPP1R14A,DES,GENE51,NEXN",Fibromyocytes,,,Smooth muscle cells,CL:0000192,smooth muscle cell
1,Lung,0.25,"S100A16,EID1,GENE63,ECSCR,MARCKS,TUBB,ARPC1A,GENE92,HMGN1,LSM2,COX20,HMGN2",Lymphatic EC proliferating,,,Epithelial cells,CL:0000066,lung endothelial cell
1,Lung,0.25,"FBXL7,LDB2,TSHZ2,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36,GENE71,GENE74",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Mesenchymal cells,CL:0008019,unknown_cell_type
1,Lung,0.25,"LMO7,RAB11FIP1,EMP2,GENE11,NCKAP5,RBMS3,NTM,KHDRBS2,GENE49,LIMCH1,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Fibroblasts,CL:0000057,fibroblast
1,Lung,0.25,"GENE82,MACROD2,AUTS2,ZNF385B,SFTPC,ABCA3,ANK3,SFTPB,GENE20,PDE4D,LRRK2,ERBB4",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,Type II alveolar epithelial cells,CL:0002063,alveolar epithelial cell type II
1,Lung,0.25,"MACROD2,GLIS3,GENE50,GENE72,SSBP2,EYA2,XPR1,RBMS3,KRT17,TP63,FAF1,CACHD1",Epithelial cell (basal),basal cell,CL:0000646,Epithelial cells,CL:0000066,"The provided markers do not directly correspond to any known lung cell type based on the database results. Therefore, no specific cell type identification can be made."
1,Lung,0.25,"TMEM232,DNAH12,CFAP54,DNAH7,STK33,GENE62,HYDIN,GENE72,CDHR3,LRRIQ1,AGBL4,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,Ciliated cells,CL:0000064,ciliated epithelial cell
1,Lung,0.25,"NEDD4L,MACROD2,GENE94,SCGB3A2,CDK14,GENE66,MECOM,BMPR1B,KIAA1217,SFTPB,ERBB4,KIAA1324",Epithelial cell (club),club cell,CL:0000158,Club cells,CL:0000158,pulmonary alveolar type 2 cell
1,Lung,0.25,"PDK1,FBXW7,ARHGAP15,GENE72,PLCG2,GENE89,ST6GAL1,CREB3L2,FCHSD2,RALGPS2,DENND5B,MEF2C",Immune (B cell),B cell,CL:0000236,Immune cells,CL:0000738,b cell
1,Lung,0.25,"PIP4K2A,B2M,FYN,GENE68,GENE80,SKAP1,ARHGAP15,PRKCH,KLRD1,PARP8,AOAH,CD247",Immune (NK cell),natural killer cell,CL:0000623,T cells,CL:0000084,nonclassical monocyte
1,Lung,0.25,"FYN,FKBP5,GENE20,GENE11,BCL2,PTPRC,SYTL3,ARHGAP15,PARP8,THEMIS,ITK,SKAP1",Immune (T cell),T cell,CL:0000084,Immune cells,CL:0000738,cd8+ mem/eff t cell
1,Lung,0.25,"GENE26,ZEB2,DOCK8,FMNL2,GPCPD1,SLC11A1,PPARG,RNF149,TFRC,GENE85,PLXDC2,MSR1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,Myeloid cells,CL:0000763,lipofibroblast
1,Lung,0.25,"KIT,SAMSN1,IL18R1,FER,TPSB2,SLC24A3,SRGN,SYTL3,GENE49,ARHGAP15,TPSAB1,GENE4",Immune (mast cell),mast cell,CL:0000097,Mast Cells,CL:0000097,mast cell
1,Lung,0.25,"GENE50,CALD1,INPP4B,GENE93,CACNA1C,TPM1,PRKG1,ACTA2,DMD,EBF1,LPP,MYH11",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",Smooth Muscle Cells,CL:0000192,smooth muscle cell
1,Lung,0.25,"PTPRB,PTPRM,GENE50,TCF4,LDB2,GENE90,ST6GALNAC3,TIMP3,PECAM1,CALCRL,EPAS1,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,Fibroblasts,CL:0000057,endothelial cell
1,Lung,0.25,"LAMA2,GENE56,PLEKHH2,GENE60,ROBO2,LSAMP,RBMS3,PRKG1,ARHGAP6,RORA,SLIT2,PLXDC2",Fibroblast,fibroblast,CL:0000057,Mesenchymal Stem Cells,CL:0000134,unknown
1,Lung,0.25,"TBXAS1,ZEB2,GENE9,GENE61,FKBP5,CD74,PIK3R5,CHST11,SRGN,PLXDC2,SLC8A1,CTSB",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",Macrophages,CL:0000235,pulmonary alveolar type 2 cell
1,Lung,0.25,"GENE61,PLIN2,GHR,ADIPOQ,LPIN1,PPARG,GENE11,PLIN1,FOXO1,EBF1,G0S2,ACSL1",Adipocyte,fat cell,CL:0000136,Adipocytes,CL:0000136,adipocyte
1,Lung,0.25,"AGER,EMP2,GENE88,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,Alveolar Epithelial Type I Cells,CL:0002062,alveolar type I cell
1,Lung,0.25,"NKX2-1,GENE67,SLC34A2,LAMP3,SFTPC,SFTPB",Alveolar Type II,type II pneumocyte,CL:0002063,Alveolar Epithelial Type II Cells,CL:0002063,pulmonary alveolar type 2 cell
1,Lung,0.25,"CD24,CXCR3,CD1c,FAS,CR2,GENE73",B cell_memory,memory B cell,CL:0000787,Dendritic Cells,CL:0000451,unknown cell type
1,Lung,0.25,"TUBA1A,HYDIN,FAM92B,GENE80,FOXJ1,DNAH5,DNAI1,DNAI2,CDHR3,GENE64",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,Ciliated Epithelial Cells,CL:0000067,ciliated epithelial cell
1,Lung,0.25,"SCGB3A2,SCGB1A1,BPIFA1,GENE29,SCGB3A1,SLPI,MUC5B,CYP2F2",Club Epithelial,club cell,CL:0000158,Club Cells,CL:0000158,"club cell, goblet cell"
1,Lung,0.25,"NEGR1,COL4A1,COL5A1,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,GENE13,GENE45,GENE62,HGF,COL18A1,COL6A3,FBLN1,GENE29,DCN,GENE84,SLIT2,FN1,DDR2,CCN2,IGFBP3,COL6A6,GENE37,IL6,COL3A1,COL6A1,COL1A2,COL6A2",Fibroblast,fibroblast,CL:0000057,Fibroblasts,CL:0000057,fibroblast
1,Lung,0.25,"GENE39,RELN,FLT4,CCL21,MMRN1,PROX1,LYVE1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic Endothelial Cells,CL:0002138,lymphatic endothelial cell
1,Lung,0.25,"LYZ,C1QA,GENE32,PTPRC,LYVE1,CD68,MSR1,SLC11A1,MERTK,GENE95,CPM,CD163,MS4A6A,GENE50,RBPJ,MS4A4A,CD74,GENE71,CD36,GENE85,MR1,CSF1R,MRC1",Macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,myeloid macrophage cell
1,Lung,0.25,"KIT,HDC,TPSB2,CD69,FCER1A,GENE46,TPSAB1",Mast Cell,mast cell,CL:0000097,Mast Cells,CL:0000097,mast cell
1,Lung,0.25,"MYO1B,GENE62,CSPG4,MCAM,ACTA2,ANPEP,DES,PDGFRB,GENE55",Pericyte,pericyte,CL:0000669,Pericytes,CL:0000669,pericyte
1,Lung,0.25,"CNN1,MYOCD,GENE63,ACTN1,GENE10,GENE83,GUCY1B3,SMTN,ACTA2,ACTG2,PALLD,VCL,MYL9,GUCY1A3,MYH11,DES,TAGLN",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,smooth muscle cell
1,Lung,0.25,"TRBC1,CD3D,GENE58,CD3G,GENE93,CD69,PTPRC,CD247,NKG7,CD96,IL7R,TRAC,CD3E,GENE43,THEMIS,SKAP1",T cell,T cell,CL:0000084,T Cells,CL:0000084,T cell
1,Lung,0.25,"PTPRB,GENE1,GENE30,CLDN5,NOSTRIN,LDB2,RAMP3,VWF,EPHB4,PECAM1,BACE2,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,Endothelial Cells,CL:0000115,endothelial cell
1,Lung,0.25,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,Alveolar Type II Cells,CL:0002063,alveolar type II cell
1,Lung,0.25,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,Neutrophils,CL:0000775,nonclassical monocyte
1,Lung,0.25,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T Cells,CL:0000084,T cell
1,Lung,0.25,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,T Cells,CL:0000084,cytotoxic T cell
1,Lung,0.25,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,Natural Killer (NK) Cells,CL:0000623,natural killer cell
1,Lung,0.25,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,Stromal Cells,CL:0000499,unknown cell type
1,Lung,0.25,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,smooth muscle cell
1,Lung,0.25,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,Fibroblasts,CL:0000057,fibroblast
1,Lung,0.25,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,macrophage
1,Lung,0.25,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,Mast Cells,CL:0000097,mast cell
1,Lung,0.25,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,Monocytes,CL:0000576,monocyte-derived cell
1,Lung,0.25,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,Endothelial cells,CL:0000115,endothelial cell
1,Lung,0.25,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,Club cells,CL:0000158,multiciliated epithelial cell
1,Lung,0.25,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,Dendritic cells,CL:0000451,dendritic cell
1,Lung,0.25,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,Secretory cells,CL:0000151,club cell
1,Lung,0.25,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,Basal epithelial cells,CL:0002236,basal cell
1,Lung,0.25,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,Plasma cells,CL:0000786,plasma cell
1,Lung,0.25,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cells,CL:0000236,B cell
1,Lung,0.25,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,Mucous cells or serous cells,CL:4042016,goblet cell
1,Lung,0.25,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,Macrophages,CL:0000235,macrophage
1,Lung,0.25,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,endothelial cell
1,Lung,0.25,"EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,Endothelial cells,CL:0000115,endothelial cell
1,Lung,0.25,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,Club cells,CL:0000158,unknown cell type
1,Lung,0.25,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,Microvascular endothelial cells,CL:2000008,endothelial cell
1,Lung,0.25,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS",alveolar fibroblast,,,Fibroblasts,CL:0000057,fibroblast
