,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,RAG_annotation
521,2,Lung,0.25,"SCGB3A2,DSTN,CYB5A,GENE69,CEACAM6,PIGR,CTSE,SFTPB,GENE38,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,Club cells (Clara cells),CL:0000158,goblet_cell
522,2,Lung,0.25,"CALD1,ASPN,COL6A3,POSTN,LTBP1,BGN,GENE44,GENE11,COL3A1,COL1A1,COL1A2,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,Fibroblasts,CL:0000057,fibroblast
523,2,Lung,0.25,"GENE9,PTPRE,GZMB,IRF7,TYROBP,GENE95,PLD4,NPC2,PPP1R14B,IL3RA,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,Natural Killer cells,CL:0000623,natural killer t cell
524,2,Lung,0.25,"TPX2,BIRC5,NUSAP1,STMN1,UBE2C,TYMS,GENE87,ANLN,KPNA2,CDK1,H2AFZ,GENE20",Proliferating Macrophage,,,Proliferating cells,CL:4033068,unknown_cell_type
525,2,Lung,0.25,"BIRC5,GENE65,NUSAP1,KIF2C,SMC4,UBE2C,H2AFV,AURKB,GENE84,CENPF,HMGB2,TOP2A",Proliferating NK/T,,,Proliferating cells,CL:4033068,proliferating cell
526,2,Lung,0.25,"GENE7,POSTN,GENE27,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,Endothelial cells,CL:0000115,Unknown Cell Type
527,2,Lung,0.25,"GENE59,GENE3,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,Club cells (Clara cells) and Secretory cells,CL:0000158,goblet cell
528,2,Lung,0.25,"PTPRB,GENE66,GENE36,PRSS23,TGM2,VWF,LIFR,SELP,PLA1A,CPE,SRPX,SLCO2A1",Vein,,,Endothelial cells,CL:0000115,insufficient_information
529,2,Lung,0.25,"CHN1,CALD1,COL4A2,NID1,COL4A1,LAMB1,GENE32,COX4I2,GENE28,TACC1,PDGFRB,LAMC3",Pericyte,pericyte,CL:0000669,Pericytes or Myofibroblasts,CL:0000186,unknown
530,2,Lung,0.25,"CALD1,TPM2,PLN,DSTN,CSRP1,GENE49,ACTA2,CNN1,GENE14,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Myofibroblasts,CL:0000186,smooth muscle cell
531,2,Lung,0.25,"PTPRB,DKK2,HEY1,GENE93,GJA5,FBLN5,SEMA3G,EFNB2,BMX,EPAS1,ARGLU1,GENE73",Artery,,,Endothelial cells,CL:0000115,endothelial cell
532,2,Lung,0.25,"GENE7,HPGD,CYP3A5,CLDN5,GENE64,APP,STXBP6,TBX2,EMCN,SOSTDC1,ESAM,EDNRB",Capillary Aerocyte,,,Epithelial cells,CL:0000066,endothelial cell of artery
533,2,Lung,0.25,"GENE7,IPO7,SH3BP5,RALA,GALNT18,GENE81,SRSF11,PECAM1,ACVRL1,EPAS1,VAT1,WWTR1",Capillary Intermediate,,,Epithelial cells,CL:0000066,unidentified cell type
534,2,Lung,0.25,"C7,GENE36,GENE72,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,CPXM1,HAS1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,Mesothelial cells,CL:0000077,pulmonary alveolar type 2 cell
535,2,Lung,0.25,"ALDH1A3,PRG4,GENE61,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE46,SLPI",Mesothelial,mesothelial cell,CL:0000077,Epithelial cells,CL:0000066,goblet cell
536,2,Lung,0.25,"GENE13,CMTM5,TUBB1,GENE89,GRAP2,ITGA2B,CABP5,PF4,ACRBP,GP6,TMEM40,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",Platelets,CL:0000233,Itga2b+ megakaryocyte/platelet
537,2,Lung,0.25,"CD2,GNLY,CTSW,S100A6,GENE64,CCL5,GENE84,CEBPB,CXCR4,CD7,LGALS1,ZFP36L2",Natural Killer T,,,T lymphocytes,CL:0000084,T cell
538,2,Lung,0.25,"CLU,CST5,GENE15,GENE95,MET,FAM150A,HSPB3,RAMP1,CSRP1,IGF1,SCX,CNN1",Fibromyocyte,,,Alveolar macrophages,CL:0000583,fibroblast
539,2,Lung,0.25,"CXCL17,S100P,PSCA,COX5A,TXN,GENE64,AGR2,GENE96,FAM3D,GABRP,CLIC1,WFDC2",Goblet,goblet cell,CL:0000160,Goblet cells,CL:0000160,pulmonary alveolar type 2 cell
540,2,Lung,0.25,"TFF3,GENE13,TMPRSS11E,PHGR1,BSND,FOXI1,HEPACAM2,ATP6V1B1,STAC2,MFSD6L,GENE16,ASCL3",Ionocyte,ionocyte,CL:0005006,Club cells,CL:0000158,cell_of_clara_cell
541,2,Lung,0.25,"PCSK1N,EGR1,GENE35,FAM46A,PRDX2,CHGA,SEC11C,SCGN,CPE,GENE46,BEX1,NENF",Neuroendocrine,neuroendocrine cell,CL:0000165,Neuroendocrine cells,CL:0000165,unknown cell type
542,2,Lung,0.25,"TCN1,LPO,PHB,LYZ,GENE44,TESC,ZG16B,PRR4,PRB3,PRH2,GENE64,PRB4",Serous,serous secreting cell,CL:0000313,Mucous cells,CL:0000319,goblet cell
543,2,Lung,0.25,"C1QB,LYZ,GENE41,FCER1G,C1QA,LAPTM5,GENE5,AIF1,C1QC,HLA-DRB1,CTSZ,CTSL",Macrophages,macrophage,CL:0000235,Macrophages,CL:0000235,macrophage
544,2,Lung,0.25,"GNLY,GZMB,CTSW,CST7,CD7,CCL5,NKG7,GZMA,GENE76,GENE46,CCL4,PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,Cytotoxic T cells,CL:0000910,natural killer cell
545,2,Lung,0.25,"S100A14,SLC34A2,CYB5A,SLC39A8,SFTA2,GENE60,SFTPD,NAPSA,MUC1,GENE75,SFTA3,PEBP4",AT2,type II pneumocyte,CL:0002063,Alveolar type II cells,CL:0002063,alveolar epithelial cell
546,2,Lung,0.25,"CLEC14A,ACKR1,MGP,RAMP3,RAMP2,GENE80,IGFBP7,GENE60,VWF,GNG11,PECAM1,SPARCL1",EC venous,vein endothelial cell,CL:0002543,Endothelial cells,CL:0000115,endothelial cell
547,2,Lung,0.25,"CD2,CD3D,IL32,GENE89,CD69,CCL5,TRAC,GENE77,CXCR4,CD3E,TRBC2,CORO1A",T cell lineage,T cell,CL:0000084,T cells,CL:0000084,T cell
548,2,Lung,0.25,"CLEC14A,TM4SF1,CLDN5,IFI27,SOX17,GENE17,A2M,CRIP2,GENE28,PECAM1,SPARCL1,GIMAP7",EC arterial,endothelial cell of artery,CL:1000413,Endothelial cells,CL:0000115,endothelial cell
549,2,Lung,0.25,"CALD1,LUM,C1S,BGN,MGP,IGFBP7,GENE56,GENE29,COL6A1,DCN,COL1A2,SPARC",Fibroblasts,fibroblast,CL:0000057,Fibroblasts,CL:0000057,fibroblast
550,2,Lung,0.25,"AGER,EMP2,GENE64,FXYD3,SFTA2,CEACAM6,ADIRF,CAV1,KRT7,HOPX,GENE31,TSPAN13",AT1,type I pneumocyte,CL:0002062,Alveolar Type I and II Epithelial Cells,CL:0002063,alveolar epithelial cells
551,2,Lung,0.25,"RP11-356K23.1,C12orf75,GSTA1,CD24,GENE57,FAM229B,TMEM231,GENE11,RP11-295M3.4,C11orf97,C5orf49,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,Clara Cells,CL:0000158,unknown
552,2,Lung,0.25,"LTB,MS4A1,GENE61,IGHA1,IGLC2,CD79A,TSC22D3,IGKC,GENE38,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,B Cells,CL:0000236,mast cell
553,2,Lung,0.25,"CXCL17,KRT7,BPIFB1,GENE44,GENE10,CEACAM6,TACSTD2,PIGR,MUC1,WFDC2,CP,KRT19",Secretory,secretory cell,CL:0000151,Mucous Cells,CL:0000319,goblet cell
554,2,Lung,0.25,"CD14,S100A9,S100A8,FCER1G,GENE67,COTL1,LST1,AIF1,VCAN,GENE77,S100A12,FCN1",Monocytes,monocyte,CL:0000576,Macrophages,CL:0000235,monocyte
555,2,Lung,0.25,"TCN1,SELM,MARCKSL1,LTF,ZG16B,GENE48,PIP,PIGR,GENE81,CCL28,SEC11C,AZGP1",Submucosal Secretory,,,Serous Cells,CL:0000313,goblet cell
556,2,Lung,0.25,"CLEC14A,TM4SF1,CLDN5,AQP1,GENE67,CDH5,GENE79,IFI27,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,Endothelial Cells,CL:0000115,endothelial cell
557,2,Lung,0.25,"SDPR,TM4SF1,CLDN5,GENE3,CCL21,RAMP2,ECSCR,IGFBP7,MMRN1,GNG11,PPFIBP1,GENE38",Lymphatic EC mature,,,Lymphatic Endothelial Cells,CL:0002138,potential endothelial cells
558,2,Lung,0.25,"TFF3,SDPR,AKAP12,CLDN5,TCF4,CCL21,GENE44,IGFBP7,GNG11,GENE92,TIMP3,TFPI",Lymphatic EC differentiating,,,Lymphatic and Endothelial Cells,CL:0002138,unknown
559,2,Lung,0.25,"HLA-DQB1,GENE89,HLA-DQA1,GENE40,HLA-DPA1,ITGB2,GPR183,HLA-DPB1,HLA-DRB1,HLA-DMA,CORO1A,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,Dendritic Cells,CL:0000451,"antigen-presenting cells, likely dendritic cells or macrophages"
560,2,Lung,0.25,"GENE13,CALD1,TPM2,CYR61,MT1X,CTGF,GPX3,IGFBP5,GENE83,SPARCL1,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,Fibroblast,CL:0000057,unknown cell type
561,2,Lung,0.25,"KIT,GENE50,VWA5A,C1orf186,CPA3,HPGDS,MS4A2,TPSB2,GENE85,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,Mast cell,CL:0000097,mast cell
562,2,Lung,0.25,"TPM2,PLN,LMOD1,IGFBP7,FLNA,GENE88,GENE28,ACTG2,SELM,PPP1R14A,DES,NEXN",Fibromyocytes,,,Smooth muscle cell,CL:0000192,smooth muscle cell
563,2,Lung,0.25,"S100A16,EID1,ECSCR,GENE93,MARCKS,TUBB,ARPC1A,GENE18,HMGN1,LSM2,COX20,HMGN2",Lymphatic EC proliferating,,,Alveolar epithelial cell,CL:0000322,endothelial cell
564,2,Lung,0.25,"FBXL7,GENE57,LDB2,TSHZ2,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36,GENE32",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Endothelial cell,CL:0000115,pulmonary alveolar type 2 cell
565,2,Lung,0.25,"LMO7,RAB11FIP1,EMP2,GENE32,NCKAP5,RBMS3,NTM,KHDRBS2,GENE6,LIMCH1,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Mesothelial cell,CL:0000077,pulmonary alveolar type 2 cell
566,2,Lung,0.25,"MACROD2,AUTS2,GENE30,ZNF385B,SFTPC,ABCA3,ANK3,GENE17,SFTPB,PDE4D,LRRK2,ERBB4",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,Type II pneumocyte,CL:0002063,type_II_alveolar_cells
567,2,Lung,0.25,"MACROD2,GLIS3,SSBP2,GENE67,EYA2,XPR1,RBMS3,KRT17,GENE49,TP63,FAF1,CACHD1",Epithelial cell (basal),basal cell,CL:0000646,Club cell,CL:0000158,epithelial cell
568,2,Lung,0.25,"TMEM232,DNAH12,CFAP54,DNAH7,STK33,HYDIN,GENE56,CDHR3,GENE60,LRRIQ1,AGBL4,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,Ciliated epithelial cell,CL:0000067,goblet cell
569,2,Lung,0.25,"NEDD4L,MACROD2,SCGB3A2,CDK14,GENE78,GENE74,MECOM,BMPR1B,KIAA1217,SFTPB,ERBB4,KIAA1324",Epithelial cell (club),club cell,CL:0000158,Club cell,CL:0000158,pulmonary alveolar type 2 cell
570,2,Lung,0.25,"GENE13,PDK1,FBXW7,ARHGAP15,PLCG2,ST6GAL1,GENE88,CREB3L2,FCHSD2,RALGPS2,DENND5B,MEF2C",Immune (B cell),B cell,CL:0000236,Macrophage,CL:0000235,unknown
571,2,Lung,0.25,"GENE21,PIP4K2A,B2M,FYN,GENE91,SKAP1,ARHGAP15,PRKCH,KLRD1,PARP8,AOAH,CD247",Immune (NK cell),natural killer cell,CL:0000623,T cell,CL:0000084,nonclassical monocyte
572,2,Lung,0.25,"GENE45,FYN,FKBP5,GENE93,BCL2,PTPRC,SYTL3,ARHGAP15,PARP8,THEMIS,ITK,SKAP1",Immune (T cell),T cell,CL:0000084,B cell,CL:0000236,cell_type_name
573,2,Lung,0.25,"ZEB2,DOCK8,FMNL2,GPCPD1,SLC11A1,PPARG,RNF149,GENE87,TFRC,GENE88,PLXDC2,MSR1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,Dendritic cell,CL:0000451,macrophage
574,2,Lung,0.25,"KIT,SAMSN1,GENE27,IL18R1,FER,GENE80,TPSB2,SLC24A3,SRGN,SYTL3,ARHGAP15,TPSAB1",Immune (mast cell),mast cell,CL:0000097,Mast cell,CL:0000097,mast cell
575,2,Lung,0.25,"GENE39,CALD1,INPP4B,GENE24,CACNA1C,TPM1,PRKG1,ACTA2,DMD,EBF1,LPP,MYH11",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",Smooth muscle cell,CL:0000192,smooth muscle cell
576,2,Lung,0.25,"PTPRB,PTPRM,GENE61,TCF4,LDB2,GENE35,ST6GALNAC3,TIMP3,PECAM1,CALCRL,EPAS1,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,Endothelial cell,CL:0000115,endothelial cell
577,2,Lung,0.25,"GENE15,LAMA2,PLEKHH2,ROBO2,LSAMP,RBMS3,PRKG1,ARHGAP6,RORA,SLIT2,PLXDC2,GENE97",Fibroblast,fibroblast,CL:0000057,Fibroblast,CL:0000057,fibroblast
578,2,Lung,0.25,"TBXAS1,ZEB2,GENE54,FKBP5,CD74,PIK3R5,CHST11,SRGN,PLXDC2,GENE14,SLC8A1,CTSB",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",Dendritic cell,CL:0000451,unknown cell type
579,2,Lung,0.25,"PLIN2,GHR,ADIPOQ,LPIN1,PPARG,GENE37,PLIN1,GENE71,FOXO1,EBF1,G0S2,ACSL1",Adipocyte,fat cell,CL:0000136,Adipocyte,CL:0000136,adipocyte
580,2,Lung,0.25,"GENE36,AGER,EMP2,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,Type I alveolar cells,CL:0002062,alveolar epithelial cell
581,2,Lung,0.25,"NKX2-1,SLC34A2,LAMP3,SFTPC,SFTPB,GENE23",Alveolar Type II,type II pneumocyte,CL:0002063,Type II alveolar cells,CL:0002063,pulmonary alveolar type 2 cell
582,2,Lung,0.25,"CD24,GENE95,CXCR3,CD1c,FAS,CR2",B cell_memory,memory B cell,CL:0000787,Dendritic cells,CL:0000451,unidentified_cell_type
583,2,Lung,0.25,"TUBA1A,HYDIN,GENE93,FAM92B,GENE80,FOXJ1,DNAH5,DNAI1,DNAI2,CDHR3",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,Ciliated cells,CL:0000064,ciliated epithelial cell
584,2,Lung,0.25,"SCGB3A2,SCGB1A1,BPIFA1,SCGB3A1,GENE38,SLPI,MUC5B,CYP2F2",Club Epithelial,club cell,CL:0000158,Clara cells,CL:0000158,club cell and goblet cell
585,2,Lung,0.25,"GENE98,NEGR1,COL4A1,GENE77,GENE16,COL5A1,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,GENE52,HGF,COL18A1,COL6A3,GENE5,FBLN1,DCN,SLIT2,FN1,DDR2,CCN2,IGFBP3,COL6A6,GENE37,IL6,COL3A1,COL6A1,COL1A2,COL6A2",Fibroblast,fibroblast,CL:0000057,Fibroblasts,CL:0000057,unknown
586,2,Lung,0.25,"RELN,FLT4,CCL21,MMRN1,PROX1,LYVE1,GENE41",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic endothelial cells,CL:0002138,lymphatic endothelial cell
587,2,Lung,0.25,"GENE30,LYZ,GENE33,C1QA,PTPRC,LYVE1,CD68,MSR1,GENE43,SLC11A1,MERTK,CPM,CD163,MS4A6A,RBPJ,MS4A4A,CD74,CD36,GENE21,GENE60,MR1,CSF1R,MRC1",Macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,macrophage
588,2,Lung,0.25,"KIT,HDC,TPSB2,CD69,GENE28,FCER1A,TPSAB1",Mast Cell,mast cell,CL:0000097,Mast cells,CL:0000097,mast cell
589,2,Lung,0.25,"MYO1B,GENE7,CSPG4,MCAM,GENE28,ACTA2,ANPEP,DES,PDGFRB",Pericyte,pericyte,CL:0000669,Pericytes,CL:0000669,pericyte
590,2,Lung,0.25,"CNN1,MYOCD,GENE30,ACTN1,GENE34,GENE46,GUCY1B3,SMTN,ACTA2,ACTG2,PALLD,VCL,MYL9,GUCY1A3,MYH11,DES,TAGLN",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,smooth muscle cell
591,2,Lung,0.25,"TRBC1,CD3D,GENE15,CD3G,GENE81,CD69,PTPRC,CD247,NKG7,CD96,IL7R,TRAC,CD3E,THEMIS,GENE51,SKAP1",T cell,T cell,CL:0000084,T Cells,CL:0000084,cd8+ mem/eff t cell
592,2,Lung,0.25,"PTPRB,GENE94,CLDN5,NOSTRIN,LDB2,RAMP3,VWF,GENE48,EPHB4,PECAM1,BACE2,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,Endothelial Cells,CL:0000115,endothelial cell
593,2,Lung,0.25,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,Alveolar Epithelial Cells,CL:0000322,alveolar epithelial type II cell
594,2,Lung,0.25,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,Neutrophils,CL:0000775,nonclassical monocyte
595,2,Lung,0.25,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T Cells,CL:0000084,T cell
596,2,Lung,0.25,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,Cytotoxic T Cells and Natural Killer Cells,CL:0000623,T cell
597,2,Lung,0.25,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,Natural Killer Cells,CL:0000623,natural killer cell
598,2,Lung,0.25,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,Fibroblasts,CL:0000057,Unknown
599,2,Lung,0.25,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,smooth muscle cell
600,2,Lung,0.25,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,Fibroblasts,CL:0000057,fibroblast
601,2,Lung,0.25,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,macrophage
602,2,Lung,0.25,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,Mast Cells,CL:0000097,mast cell
603,2,Lung,0.25,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,Monocytes,CL:0000576,monocyte
604,2,Lung,0.25,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,Endothelial Cells,CL:0000115,endothelial cell
605,2,Lung,0.25,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,Ciliated Cells,CL:0000064,ciliated cell
606,2,Lung,0.25,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,Dendritic Cells,CL:0000451,dendritic cell
607,2,Lung,0.25,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,Club Cells,CL:0000158,club cell
608,2,Lung,0.25,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,Basal Cells,CL:0000646,basal cell
609,2,Lung,0.25,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,Plasma Cells,CL:0000786,plasma cell
610,2,Lung,0.25,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cells,CL:0000236,B lymphocyte
611,2,Lung,0.25,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,Secretory cells,CL:0000151,goblet cell
